depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr,poreice_CT_hr,totalice_CT_hr,organic_CT_hr,mineral_CT_hr
41.06,2.727,43.147,17.298,36.828,27.778304916984922,70.92530491698491,5.216863426413724,21.130831656601355
41.065,2.723,42.928,17.614,36.735,27.953113823311114,70.88111382331111,5.254892387236099,21.14099378945279
41.07,2.722,42.67,17.884,36.723,28.131780757398275,70.80178075739828,5.292431014654774,21.18278822794695
41.075,2.705,42.323,18.194,36.778,28.366793311750957,70.68979331175096,5.3406748541587366,21.264531834090306
41.08,2.668,42.009,18.562,36.761,28.61002978477768,70.61902978477768,5.391790414599056,21.321179800623266
41.085,2.658,41.825,18.709,36.808,28.730558400451258,70.55555840045126,5.416231903957168,21.370209695591573
41.09,2.639,41.639,18.846,36.876,28.853398869759843,70.49239886975985,5.440820436916312,21.427780693323843
41.095,2.619,41.438,19.094,36.849,29.010567155154618,70.44856715515462,5.474105373150288,21.45832747169509
41.1,2.578,41.304,19.273,36.845,29.13073497273162,70.43473497273162,5.499287931336946,21.487977095931434
41.105,2.533,41.271,19.295,36.901,29.170043650742066,70.44104365074207,5.506608038720756,21.51934831053718
41.11,2.496,41.247,19.263,36.994,29.18864886911568,70.43564886911568,5.509008176730325,21.559342954153994
41.115,2.438,41.225,19.3,37.038,29.23296039037367,70.45796039037367,5.517566136173141,21.587473473453183
41.12,2.399,41.34,19.03,37.231,29.132918219861352,70.47291821986136,5.493564614413957,21.63451716572469
41.125,2.388,41.396,18.846,37.371,29.06842239445347,70.46442239445346,5.477841803222655,21.670735802323875
41.13,2.363,41.396,18.802,37.44,29.068429802007422,70.46442980200743,5.476738694114527,21.69683150387805
41.135,2.362,41.292,18.901,37.446,29.138458677146076,70.43045867714608,5.491280680147003,21.717260642706922
41.14,2.359,41.169,19.132,37.339,29.249298079766717,70.41829807976671,5.516162313570119,21.705539606663166
41.145,2.357,41.088,19.251,37.304,29.315137638594344,70.40313763859434,5.530485003039535,21.709377358366126
41.15,2.364,40.947,19.376,37.313,29.404176613519063,70.35117661351907,5.548952616515887,21.73587076996505
41.155,2.372,40.732,19.602,37.294,29.549837242277924,70.28183724227793,5.579704046262227,21.766458711459848
41.16,2.377,40.598,19.696,37.329,29.629058276975158,70.22705827697516,5.59570318091677,21.800238542108076
41.165,2.389,40.449,19.781,37.382,29.709969028080806,70.1589690280808,5.611767343237136,21.841263628682054
41.17,2.407,40.235,19.871,37.487,29.81687328730503,70.05187328730503,5.632432398694657,21.908694314000318
41.175,2.421,40.051,20.026,37.503,29.929384068453132,69.98038406845313,5.655694226098106,21.943921705448762
41.18,2.454,39.811,20.208,37.526,30.063323548873566,69.87432354887356,5.683323199483246,21.987353251643192
41.185,2.456,39.56,20.488,37.496,30.240981802202654,69.80098180220266,5.7209391552178985,22.022079042579445
41.19,2.442,39.335,20.713,37.51,30.400296296957407,69.73529629695742,5.7540163200695265,22.068687382973064
41.195,2.405,39.259,20.768,37.568,30.462947933347404,69.72194793334741,5.766183756130827,22.106868310521765
41.2,2.367,39.242,20.755,37.635,30.483198664144293,69.72519866414429,5.769344101180575,22.13745723467513
41.205,2.325,39.219,20.818,37.638,30.527407082993367,69.74640708299337,5.778536899951149,22.15005601705548
41.21,2.291,39.158,20.935,37.616,30.597531652986987,69.75553165298699,5.793547155763996,22.159921191249012
41.215,2.263,39.201,21.021,37.515,30.612227232060533,69.81322723206054,5.798235915659747,22.125536852279716
41.22,2.244,39.387,20.809,37.561,30.48782965829897,69.87482965829898,5.771496816911717,22.11067352478931
41.225,2.246,39.606,20.635,37.513,30.348478689106926,69.95447868910694,5.7431369254059295,22.056384385487142
41.23,2.254,39.741,20.484,37.521,30.249117433575677,69.99011743357568,5.722239497265756,22.03364306915857
41.235,2.279,39.785,20.521,37.415,30.228270310987114,70.01327031098711,5.7195788608581655,21.98815082815472
41.24,2.288,39.897,20.501,37.314,30.170776111123406,70.06777611112341,5.709177886682839,21.935046002193758
41.245,2.287,39.962,20.501,37.249,30.1425406987899,70.1045406987899,5.704316495147662,21.90314280606244
41.25,2.286,39.946,20.544,37.224,30.160965457780584,70.10696545778057,5.708568036390107,21.898466505829305
41.255,2.299,39.883,20.689,37.129,30.218448485978726,70.10144848597872,5.722104543046229,21.877446970975043
41.26,2.282,39.874,20.778,37.066,30.251694028444454,70.12569402844446,5.730062415169492,21.862243556386055
41.265,2.238,39.888,20.91,36.965,30.297717247434164,70.18571724743416,5.741299550228163,21.835983202337676
41.27,2.229,39.963,20.818,36.99,30.24592174157626,70.20892174157626,5.73007256587739,21.832005692546353
41.275,2.256,39.783,21.006,36.955,30.35875276027813,70.14175276027814,5.754217818091188,21.84802942163068
41.28,2.262,39.638,21.152,36.948,30.455143228516604,70.0931432285166,5.774478256961352,21.870378514522045
41.285,2.269,39.465,21.247,37.019,30.550683373387358,70.01568337338736,5.793312210601792,21.92200441601085
41.29,2.279,39.252,21.36,37.109,30.666735588185,69.918735588185,5.816129594055734,21.986134817759265
41.295,2.302,39.09,21.364,37.244,30.728102510248306,69.81810251024831,5.826795754248311,22.053101735503386
41.3,2.33,38.944,21.442,37.283,30.798164538375822,69.74216453837582,5.840816355750021,22.086019105874158
41.305,2.341,38.8,21.685,37.175,30.916741977841703,69.7167419778417,5.867331470315764,22.07592655184253
41.31,2.343,38.682,21.875,37.1,31.0135594294852,69.6955594294852,5.888769808933059,22.07267076158174
41.315,2.345,38.615,21.971,37.068,31.06503834123167,69.68003834123166,5.9000426827380235,22.073918976030303
41.32,2.356,38.543,22.0,37.101,31.099123276738105,69.6421232767381,5.906639097297389,22.095237625964504
41.325,2.367,38.398,22.202,37.033,31.20715389289866,69.60515389289867,5.930309242169335,22.09753686493201
41.33,2.355,38.327,22.349,36.97,31.279899503084767,69.60689950308476,5.946523761237149,22.092576735678083
41.335,2.342,38.199,22.406,37.053,31.35477298474989,69.55377298474988,5.960845675237123,22.143381340012986
41.34,2.329,38.15,22.307,37.215,31.357721790719374,69.50772179071937,5.958868516557104,22.20540969272352
41.345,2.317,37.988,22.344,37.35,31.441562889244278,69.42956288924428,5.974232424149167,22.278204686606557
41.35,2.313,37.942,22.28,37.464,31.447497176945166,69.38949717694517,5.973647774160108,22.322855048894727
41.355,2.316,37.801,22.249,37.634,31.500231534810364,69.30123153481037,5.981949147354689,22.400819317834944
41.36,2.318,37.637,22.325,37.72,31.589347866709097,69.22634786670909,5.999200196925921,22.456451936364978
41.365,2.323,37.501,22.334,37.842,31.648472884557457,69.14947288455745,6.009605858720477,22.517921256722065
41.37,2.351,37.367,22.343,37.939,31.69673812843139,69.0637381284314,6.018141754539964,22.567120117028644
41.375,2.357,37.248,22.351,38.044,31.747797464326787,68.99579746432678,6.027133619489669,22.620068916183538
41.38,2.373,37.144,22.396,38.087,31.79712287982862,68.94112287982861,6.0367556361479044,22.64912148402348
41.385,2.379,37.009,22.52,38.092,31.883743255267078,68.89274325526708,6.054781731086443,22.673475013646474
41.39,2.356,36.911,22.804,37.929,32.00635165365363,68.91735165365364,6.083019955760944,22.64362839058542
41.395,2.339,36.873,23.023,37.766,32.084692734767344,68.95769273476733,6.102005041618276,22.60230222361438
41.4,2.318,36.873,23.211,37.599,32.14018414688425,69.01318414688424,6.116277929483715,22.553537923632028
41.405,2.296,36.882,23.361,37.461,32.18239354209814,69.06439354209814,6.1273102185717345,22.512296239330126
41.41,2.279,36.874,23.406,37.441,32.20435232718442,69.07835232718442,6.132220424972798,22.510427247842788
41.415,2.256,36.753,23.59,37.401,32.312287248489994,69.06528724849,6.155422300064371,22.523290451445632
41.42,2.236,36.672,23.701,37.39,32.383103905130255,69.05510390513025,6.170401117015432,22.537494977854312
41.425,2.193,36.596,23.833,37.379,32.468222310427905,69.06422231042791,6.1883694095843484,22.55540827998775
41.43,2.17,36.544,23.913,37.374,32.52053320766113,69.06453320766113,6.199383934933545,22.567082857405325
41.435,2.136,36.505,24.043,37.316,32.583873166586145,69.08887316658615,6.213552355505728,22.561574477908124
