Image slice depth [cm],"Volumetric gas content (CT, direct) [%]","Volumetric excess ice content (CT, direct) [%]","Volumetric phase A content (CT, direct) [%]","Volumetric phase B content (CT, direct) [%]"
depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr
22.52,0.108,53.283,20.184,26.426
22.525,0.098,53.436,20.115,26.351
22.53,0.09,53.524,20.145,26.241
22.535,0.085,53.684,20.176,26.055
22.54,0.082,53.89,20.137,25.892
22.545,0.077,54.039,20.147,25.737
22.55,0.068,54.268,20.045,25.618
22.555,0.062,54.437,19.987,25.515
22.56,0.055,54.733,19.722,25.491
22.565,0.046,54.974,19.606,25.373
22.57,0.043,55.028,19.752,25.177
22.575,0.041,55.18,19.844,24.935
22.58,0.046,55.458,19.725,24.771
22.585,0.053,55.757,19.653,24.537
22.59,0.064,55.907,19.69,24.338
22.595,0.08,56.082,19.724,24.114
22.6,0.103,56.297,19.667,23.933
22.605,0.121,56.509,19.733,23.636
22.61,0.135,56.696,19.845,23.323
22.615,0.144,56.889,19.915,23.052
22.62,0.146,57.108,19.968,22.777
22.625,0.151,57.317,19.958,22.573
22.63,0.157,57.504,19.885,22.454
22.635,0.162,57.564,19.915,22.359
22.64,0.17,57.517,20.007,22.306
22.645,0.177,57.373,20.148,22.302
22.65,0.182,57.33,20.148,22.34
22.655,0.175,57.279,20.179,22.368
22.66,0.172,57.245,20.294,22.289
22.665,0.171,57.216,20.347,22.266
22.67,0.181,57.305,20.315,22.199
22.675,0.186,57.364,20.402,22.047
22.68,0.197,57.412,20.45,21.941
22.685,0.2,57.537,20.395,21.868
22.69,0.207,57.599,20.402,21.791
22.695,0.21,57.57,20.577,21.643
22.7,0.215,57.583,20.712,21.489
22.705,0.222,57.567,20.845,21.366
22.71,0.232,57.569,20.952,21.248
22.715,0.241,57.592,21.046,21.121
22.72,0.254,57.667,20.985,21.095
22.725,0.264,57.759,20.906,21.072
22.73,0.27,57.899,20.858,20.973
22.735,0.269,58.049,20.847,20.835
22.74,0.273,58.117,20.926,20.684
22.745,0.285,58.211,20.896,20.607
22.75,0.294,58.232,20.935,20.539
22.755,0.298,58.279,21.003,20.421
22.76,0.291,58.282,21.088,20.339
22.765,0.288,58.305,21.114,20.294
22.77,0.276,58.327,21.127,20.271
22.775,0.272,58.398,21.035,20.296
22.78,0.278,58.412,21.001,20.308
22.785,0.275,58.479,21.002,20.244
22.79,0.277,58.566,21.075,20.082
22.795,0.273,58.685,21.15,19.893
22.8,0.267,58.779,21.242,19.712
22.805,0.268,58.935,21.243,19.553
22.81,0.264,59.087,21.292,19.357
22.815,0.258,59.217,21.358,19.167
22.82,0.248,59.422,21.253,19.076
22.825,0.239,59.681,21.099,18.98
22.83,0.236,60.035,20.8,18.929
22.835,0.239,60.261,20.683,18.817
22.84,0.243,60.499,20.555,18.702
22.845,0.24,60.68,20.368,18.711
22.85,0.241,60.858,20.223,18.679
22.855,0.237,60.924,20.254,18.585
22.86,0.254,60.89,20.168,18.689
22.865,0.262,60.987,20.065,18.686
22.87,0.278,61.011,19.977,18.734
22.875,0.287,61.093,19.796,18.823
22.88,0.291,61.133,19.657,18.918
22.885,0.287,61.2,19.476,19.038
22.89,0.275,61.337,19.289,19.098
22.895,0.266,61.455,19.208,19.071
22.9,0.254,61.528,19.218,19
22.905,0.245,61.636,19.198,18.92
22.91,0.245,61.719,19.178,18.858
22.915,0.247,61.834,19.158,18.761
22.92,0.25,62.02,19.05,18.68
22.925,0.252,62.268,18.854,18.627
22.93,0.252,62.513,18.696,18.54
22.935,0.239,62.735,18.596,18.43
22.94,0.234,62.93,18.546,18.29
22.945,0.237,63.138,18.471,18.153
22.95,0.23,63.409,18.345,18.015
22.955,0.224,63.69,18.234,17.851
22.96,0.215,63.868,18.227,17.69
22.965,0.207,63.983,18.212,17.597
22.97,0.205,64.114,18.124,17.557
22.975,0.207,64.281,18.025,17.486
22.98,0.211,64.417,18.003,17.369
22.985,0.219,64.528,17.997,17.257
22.99,0.223,64.718,17.91,17.15
22.995,0.227,64.884,17.845,17.044
23,0.231,65.104,17.813,16.852
23.005,0.23,65.311,17.889,16.569
23.01,0.229,65.542,17.918,16.31
23.015,0.233,65.778,17.889,16.101
23.02,0.233,65.933,17.925,15.908
23.025,0.232,66.065,17.974,15.728
23.03,0.233,66.202,17.971,15.594
23.035,0.237,66.319,18.085,15.359
23.04,0.243,66.478,18.127,15.152
23.045,0.256,66.648,18.169,14.927
23.05,0.268,66.821,18.263,14.648
23.055,0.281,67.036,18.26,14.423
23.06,0.284,67.27,18.297,14.149
23.065,0.288,67.557,18.238,13.918
23.07,0.28,67.76,18.224,13.736
23.075,0.275,67.839,18.293,13.593
23.08,0.278,67.916,18.34,13.466
23.085,0.283,67.959,18.375,13.382
23.09,0.286,67.861,18.52,13.333
23.095,0.291,67.806,18.58,13.323
23.1,0.295,67.77,18.593,13.342
23.105,0.299,67.774,18.578,13.349
23.11,0.299,67.817,18.467,13.416
23.115,0.296,67.805,18.376,13.523
23.12,0.289,67.723,18.381,13.608
23.125,0.286,67.646,18.381,13.686
23.13,0.283,67.636,18.332,13.748
23.135,0.288,67.557,18.388,13.767
23.14,0.293,67.566,18.345,13.796
23.145,0.305,67.625,18.26,13.811
23.15,0.316,67.583,18.284,13.816
23.155,0.324,67.488,18.347,13.84
23.16,0.333,67.426,18.348,13.894
23.165,0.331,67.316,18.451,13.902
23.17,0.322,67.17,18.56,13.948
23.175,0.314,67.062,18.586,14.039
23.18,0.306,66.944,18.593,14.157
23.185,0.301,66.903,18.518,14.278
23.19,0.301,66.882,18.414,14.404
23.195,0.309,66.746,18.425,14.52
23.2,0.322,66.655,18.443,14.58
23.205,0.343,66.499,18.458,14.7
23.21,0.362,66.453,18.346,14.84
23.215,0.374,66.48,18.245,14.901
23.22,0.384,66.513,18.186,14.917
23.225,0.381,66.6,18.084,14.935
23.23,0.374,66.751,17.972,14.904
23.235,0.368,66.819,17.929,14.885
23.24,0.367,66.894,17.854,14.886
23.245,0.364,66.957,17.797,14.882
23.25,0.366,66.966,17.762,14.906
23.255,0.36,66.962,17.727,14.951
23.26,0.361,66.96,17.634,15.045
23.265,0.355,66.928,17.555,15.162
23.27,0.355,66.889,17.489,15.266
23.275,0.361,66.954,17.295,15.39
23.28,0.359,66.983,17.13,15.528
23.285,0.345,66.979,17.083,15.593
23.29,0.346,66.899,17.113,15.643
23.295,0.336,66.753,17.193,15.719
23.3,0.34,66.615,17.219,15.826
23.305,0.347,66.498,17.214,15.94
23.31,0.349,66.433,17.162,16.056
23.315,0.354,66.294,17.192,16.16
23.32,0.35,66.153,17.237,16.26
23.325,0.346,66.04,17.215,16.399
23.33,0.344,65.914,17.224,16.519
23.335,0.331,65.838,17.184,16.647
23.34,0.324,65.746,17.219,16.711
23.345,0.326,65.653,17.262,16.759
23.35,0.333,65.475,17.358,16.834
23.355,0.336,65.416,17.329,16.919
23.36,0.338,65.482,17.188,16.992
23.365,0.341,65.5,17.085,17.074
23.37,0.345,65.604,16.972,17.079
23.375,0.341,65.69,16.834,17.135
23.38,0.337,65.759,16.829,17.076
23.385,0.336,65.849,16.801,17.014
23.39,0.335,65.919,16.781,16.965
23.395,0.33,65.938,16.793,16.939
23.4,0.326,65.966,16.814,16.894
23.405,0.33,66.03,16.765,16.875
23.41,0.337,66.093,16.72,16.85
23.415,0.339,66.161,16.659,16.842
23.42,0.34,66.226,16.654,16.78
23.425,0.352,66.295,16.652,16.702
23.43,0.353,66.35,16.656,16.64
23.435,0.352,66.458,16.631,16.559
23.44,0.362,66.555,16.646,16.437
23.445,0.37,66.671,16.672,16.287
23.45,0.387,66.793,16.609,16.211
23.455,0.402,66.976,16.476,16.145
23.46,0.416,67.149,16.333,16.102
23.465,0.419,67.275,16.277,16.029
23.47,0.428,67.358,16.243,15.971
23.475,0.449,67.419,16.212,15.92
23.48,0.478,67.398,16.273,15.85
23.485,0.503,67.363,16.303,15.832
23.49,0.508,67.409,16.29,15.793
23.495,0.518,67.52,16.168,15.794
23.5,0.533,67.658,16.01,15.8
23.505,0.538,67.794,15.898,15.77
23.51,0.55,67.903,15.807,15.74
23.515,0.552,68.107,15.585,15.756
23.52,0.565,68.22,15.456,15.759
23.525,0.591,68.208,15.392,15.808
23.53,0.614,68.19,15.326,15.869
23.535,0.642,68.179,15.214,15.965
23.54,0.656,68.156,15.196,15.992
23.545,0.661,68.127,15.243,15.969
23.55,0.677,68.169,15.195,15.959
23.555,0.692,68.235,15.111,15.962
23.56,0.709,68.299,15.035,15.958
23.565,0.723,68.36,14.919,15.997
23.57,0.754,68.349,14.85,16.047
23.575,0.786,68.386,14.719,16.11
23.58,0.824,68.409,14.628,16.139
23.585,0.873,68.361,14.57,16.196
23.59,0.915,68.26,14.577,16.248
23.595,0.956,68.179,14.531,16.334
23.6,0.989,68.095,14.451,16.465
23.605,1.018,68.048,14.36,16.574
23.61,1.04,68.075,14.168,16.717
23.615,1.06,68.215,13.928,16.797
23.62,1.091,68.219,13.796,16.894
23.625,1.137,68.232,13.687,16.945
23.63,1.187,68.215,13.644,16.955
23.635,1.244,68.179,13.583,16.995
23.64,1.282,68.275,13.427,17.015
23.645,1.31,68.344,13.325,17.021
23.65,1.328,68.394,13.254,17.023
23.655,1.346,68.517,13.098,17.039
23.66,1.349,68.661,12.992,16.998
